Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,Document No.,Sell-to Customer No.,Type,Product,No.,Description,Posting Date,Document Date,GST Bill To State Code,State,Ship to Name,Quantity,Qty in Kgs,Unit of Measure Code,Unit Price Excl. VAT,Amount,Line Discount %,
,UCPL/23-24/578,CUS00009,Item,Annapurna Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,2023-07-01 00:00:00,2023-07-01 00:00:00,TN,Tamil Nadu,V S TRADERS  RS CODE-41A984,5000,5000,PAC,15.84,79200,0,
,UCPL/23-24/578,CUS00009,Item,Annapurna Salt,ANNX100,Anp Crystal 1 * 25 kg Relaunch,2023-07-01 00:00:00,2023-07-01 00:00:00,TN,Tamil Nadu,V S TRADERS  RS CODE-41A984,10000,10000,PAC,12.99,129900,0,
,UCPL/23-24/578,CUS00009,Item,Annapurna Salt,ANNY100,ANNP IODPD SALT 500G,2023-07-01 00:00:00,2023-07-01 00:00:00,TN,Tamil Nadu,V S TRADERS  RS CODE-41A984,6000,3000,PAC,8.09,48540,0,
,UCPL/23-24/579,CUS00003,Item,Annapurna Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,2023-07-03 00:00:00,2023-07-03 00:00:00,KA,Karnataka,SHREE MOOKAMBIKA MARKETING RS CODE-431270,10250,10250,PAC,15.84,162360,0,
,UCPL/23-24/579,CUS00003,Item,Annapurna Salt,ANNX100,Anp Crystal 1 * 25 kg Relaunch,2023-07-03 00:00:00,2023-07-03 00:00:00,KA,Karnataka,SHREE MOOKAMBIKA MARKETING RS CODE-431270,7500,7500,PAC,12.99,97425,0,
,UCPL/23-24/579,CUS00003,Item,Captain Cook Salt,ACCZ100,CC 1 kg * 25kg pack  New Code,2023-07-03 00:00:00,2023-07-03 00:00:00,KA,Karnataka,SHREE MOOKAMBIKA MARKETING RS CODE-431270,250,250,PAC,15.74,3935,0,
,UCPL/23-24/580,CUS00004,Item,Annapurna Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,2023-07-03 00:00:00,2023-07-03 00:00:00,TN,Tamil Nadu,SUMANGALI AGENCIES RS CODE-412855,2000,2000,PAC,15.84,31680,0,
,UCPL/23-24/580,CUS00004,Item,Annapurna Salt,ANNX100,Anp Crystal 1 * 25 kg Relaunch,2023-07-03 00:00:00,2023-07-03 00:00:00,TN,Tamil Nadu,SUMANGALI AGENCIES RS CODE-412855,11000,11000,PAC,12.99,142890,0,
,UCPL/23-24/581,CUS00004,Item,Annapurna Salt,ANNW100,Anp 1 kg * 25kg pack  Relaunch,2023-07-03 00:00:00,2023-07-03 00:00:00,TN,Tamil Nadu,DINESH AGENCY   RS CODE-41B396,5125,5125,PAC,15.84,81180,0,
,UCPL/23-24/581,CUS00004,Item,Annapurna Salt,ANNX100,Anp Crystal 1 * 25 kg Relaunch,2023-07-03 00:00:00,2023-07-03 00:00:00,TN,Tamil Nadu,DINESH AGENCY   RS CODE-41B396,6000,6000,PAC,12.99,77940,0,
